id,text
1,"I really like this product, it works very well and saves time"
2,The service was okay but nothing special
3,I am very disappointed with the customer support
4,This app is easy to use and very helpful
5,The update caused many problems and crashes
6,"Not bad, but it could be improved"
7,"Excellent experience, I will definitely recommend it"
8,The interface is confusing and hard to navigate
9,I feel neutral about this feature
10,The system performance is terrible after the update
11,Customer service responded quickly and solved my issue
12,"The experience was average, not good or bad"
13,I love how fast and smooth the application is
14,This is the worst experience I have ever had
15,"It works as expected, nothing more"
